Lambda,col2,col3,output
542.44,0.5198,0.25201,0.22819
543.44,0.53296,0.24561,0.22143
544.44,0.54318,0.24048,0.21634
545.45,0.55065,0.23657,0.21278
546.45,0.55565,0.23379,0.21056
547.45,0.55848,0.23198,0.20953
548.46,0.55947,0.23099,0.20953
549.46,0.55896,0.23063,0.21042
550.46,0.55728,0.23067,0.21205
551.46,0.55477,0.2309,0.21433
552.47,0.55176,0.23109,0.21715
553.47,0.54853,0.23103,0.22043
554.47,0.54533,0.23053,0.22414
555.47,0.54231,0.22944,0.22825
556.48,0.53958,0.22763,0.2328
557.48,0.53712,0.22505,0.23783
558.48,0.53485,0.2217,0.24345
559.49,0.5326,0.21764,0.24976
560.49,0.53016,0.21298,0.25686
561.49,0.52735,0.20802,0.26463
562.49,0.52389,0.20272,0.27339
563.5,0.5196,0.19718,0.28321
564.5,0.51434,0.1915,0.29416
565.5,0.50802,0.18575,0.30623
566.5,0.50065,0.17997,0.31938
567.51,0.49232,0.17417,0.33351
568.51,0.48325,0.16834,0.34841
569.51,0.47375,0.16245,0.36381
570.51,0.46415,0.1564,0.37945
571.52,0.45422,0.14994,0.39584
572.52,0.44542,0.14325,0.41134
573.52,0.43845,0.13626,0.42529
574.53,0.43406,0.12896,0.43698
575.53,0.43291,0.12133,0.44576
576.53,0.43555,0.1134,0.45104
577.53,0.44231,0.10527,0.45242
578.54,0.45326,0.097015,0.44972
579.54,0.46822,0.088785,0.443
580.54,0.4868,0.080777,0.43242
581.54,0.5086,0.073427,0.41797
582.55,0.53244,0.06641,0.40115
583.55,0.55761,0.05981,0.38258
584.55,0.58344,0.053682,0.36288
585.56,0.60935,0.048061,0.34259
586.56,0.63484,0.042955,0.3222
587.56,0.65952,0.038356,0.30212
588.56,0.68312,0.034242,0.28264
589.57,0.70545,0.030582,0.26397
590.57,0.72621,0.02734,0.24645
591.57,0.74463,0.024478,0.23089
592.57,0.76174,0.021957,0.21631
593.58,0.77757,0.019737,0.20269
594.58,0.79219,0.017784,0.19002
595.58,0.80566,0.016065,0.17828
596.59,0.81804,0.014551,0.16741
597.59,0.82943,0.013217,0.15735
598.59,0.83989,0.01204,0.14807
599.59,0.84951,0.010999,0.1395
600.6,0.85845,0.010078,0.13147
601.6,0.86713,0.0092673,0.1236
602.6,0.87512,0.008546,0.11634
603.6,0.88247,0.0079034,0.10963
604.61,0.88925,0.0073299,0.10342
605.61,0.8955,0.0068171,0.097687
606.61,0.90127,0.0063579,0.092374
607.62,0.9066,0.005946,0.08745
608.62,0.91154,0.0055758,0.082881
609.62,0.91612,0.0052427,0.078637
610.62,0.92027,0.0049429,0.074782
611.63,0.92378,0.004674,0.071547
612.63,0.92704,0.0044307,0.068527
613.63,0.93009,0.0042103,0.065704
614.63,0.93293,0.0040103,0.063064
615.64,0.93558,0.0038289,0.060592
616.64,0.93806,0.0036641,0.058275
617.64,0.94038,0.0035144,0.056101
618.64,0.94256,0.0033784,0.054059
619.65,0.94461,0.0032548,0.052139
620.65,0.94651,0.0031433,0.050348
621.65,0.94825,0.0030442,0.04871
622.66,0.94988,0.0029538,0.047162
623.66,0.95143,0.0028715,0.045697
624.66,0.95289,0.0027966,0.044311
625.66,0.95427,0.0027287,0.042998
626.67,0.95558,0.0026673,0.041753
627.67,0.95682,0.0026119,0.040572
628.67,0.95799,0.0025621,0.039451
629.67,0.9591,0.0025178,0.038387
630.68,0.96015,0.0024784,0.037372
631.68,0.96116,0.002444,0.0364
632.68,0.96211,0.0024144,0.035475
633.69,0.96301,0.0023893,0.034596
634.69,0.96387,0.0023687,0.03376
635.69,0.96468,0.0023524,0.032964
636.69,0.96545,0.0023402,0.032205
637.7,0.96618,0.0023322,0.031483
638.7,0.96688,0.0023282,0.030794
639.7,0.96753,0.0023283,0.030138
640.7,0.9681,0.0023321,0.029563
641.71,0.9685,0.002339,0.029161
642.71,0.96887,0.00235,0.028781
643.71,0.96921,0.0023649,0.028423
644.72,0.96953,0.0023841,0.028084
645.72,0.96983,0.0024074,0.027766
646.72,0.9701,0.0024351,0.027467
647.72,0.97035,0.0024674,0.027186
648.73,0.97057,0.0025045,0.026923
649.73,0.97078,0.0025465,0.026677
650.73,0.97101,0.0025931,0.026401
651.73,0.97134,0.0026433,0.02602
652.74,0.97164,0.0026989,0.025657
653.74,0.97193,0.0027603,0.02531
654.74,0.97219,0.0028279,0.024981
655.75,0.97243,0.0029023,0.024667
656.75,0.97265,0.0029838,0.02437
657.75,0.97284,0.0030731,0.024088
658.75,0.97301,0.0031709,0.023821
659.76,0.97315,0.0032779,0.02357
660.76,0.97327,0.0033955,0.023334
661.76,0.97336,0.0035258,0.023114
662.76,0.97342,0.0036686,0.022911
663.77,0.97345,0.0038252,0.022723
664.77,0.97345,0.0039971,0.02255
665.77,0.97342,0.0041861,0.022395
666.78,0.97335,0.0043941,0.022256
667.78,0.97324,0.0046235,0.022135
668.78,0.97309,0.0048769,0.022032
669.78,0.97289,0.0051573,0.021949
670.79,0.97265,0.0054684,0.021886
671.79,0.97234,0.0058142,0.021847
672.79,0.97197,0.0061999,0.021832
673.79,0.97153,0.0066314,0.021843
674.8,0.971,0.0071156,0.021883
675.8,0.97038,0.0076609,0.021955
676.8,0.96966,0.0082775,0.022063
677.8,0.96881,0.0089774,0.022212
678.81,0.96782,0.0097754,0.022407
679.81,0.96665,0.01069,0.022656
680.81,0.96531,0.011731,0.022961
681.82,0.96377,0.012908,0.023325
682.82,0.96196,0.014274,0.02377
683.82,0.95982,0.015866,0.02431
684.82,0.9573,0.017735,0.024963
685.83,0.9543,0.019942,0.025753
686.83,0.95072,0.022569,0.02671
687.83,0.94641,0.025718,0.02787
688.83,0.9412,0.029519,0.029281
689.84,0.93485,0.034144,0.031001
690.84,0.92701,0.039784,0.033206
691.84,0.91725,0.046664,0.036084
692.85,0.90529,0.055121,0.039584
693.85,0.89069,0.065486,0.043823
694.85,0.87305,0.078054,0.048892
695.85,0.85228,0.092929,0.054796
696.86,0.82893,0.10974,0.061334
697.86,0.80482,0.12723,0.06795
698.86,0.78341,0.14296,0.073635
699.86,0.76927,0.15364,0.077091
700.87,0.76623,0.15647,0.077305
701.87,0.77481,0.15095,0.074237
702.87,0.79226,0.13899,0.068753
703.88,0.81428,0.1236,0.062122
704.88,0.83704,0.10753,0.055426
705.88,0.85817,0.092516,0.049314
706.88,0.87662,0.079331,0.044046
707.89,0.89221,0.068142,0.039649
708.89,0.90515,0.058809,0.036037
709.89,0.91583,0.051079,0.033089
710.89,0.92467,0.044739,0.030594
711.9,0.93205,0.039536,0.028412
712.9,0.93823,0.035176,0.026596
713.9,0.94342,0.031503,0.025074
714.91,0.94782,0.028391,0.023789
715.91,0.95157,0.02574,0.022695
716.91,0.95478,0.023466,0.021757
717.91,0.95755,0.021507,0.020947
718.92,0.95995,0.019808,0.020242
719.92,0.96205,0.018327,0.019623
720.92,0.96388,0.017037,0.01908
721.92,0.96549,0.015909,0.018599
722.93,0.96692,0.014911,0.018168
723.93,0.9682,0.014024,0.017779
724.93,0.96934,0.013232,0.017427
725.93,0.97037,0.012524,0.017107
726.94,0.9713,0.011887,0.016813
727.94,0.97214,0.011314,0.016542
728.94,0.97291,0.010797,0.016292
729.95,0.97361,0.010329,0.016059
730.95,0.97425,0.0099061,0.015842
731.95,0.97484,0.0095243,0.015639
732.95,0.97538,0.0091761,0.015448
733.96,0.97588,0.0088581,0.015266
734.96,0.97634,0.0085672,0.015094
735.96,0.97677,0.0083008,0.01493
736.96,0.97717,0.0080566,0.014773
737.97,0.97755,0.0078326,0.014622
738.97,0.9779,0.007627,0.014477
739.97,0.97823,0.0074383,0.014337
740.98,0.97845,0.0072639,0.014283
741.98,0.97857,0.0071025,0.01433
742.98,0.97866,0.0069543,0.014382
743.98,0.97874,0.0068184,0.014439
744.99,0.97881,0.0066937,0.0145
745.99,0.97885,0.0065796,0.014566
746.99,0.97889,0.0064753,0.014635
747.99,0.97891,0.0063801,0.014709
749,0.97892,0.0062935,0.014786
750,0.97892,0.006215,0.014868
